,player_id,FIRST_NAME,LAST_NAME,TEAM_ID,HEIGHT,DRAFT_YEAR,FULL_NAME,SEASON
0,696,Travis,Best,1610612754.0,155.7528,1995,Travis Best,2014
1,731,Greg,Ostertag,0.0,219.45600000000002,1995,Greg Ostertag,2014
2,762,Shawn,Bradley,1610612742.0,231.648,1993,Shawn Bradley,2014
3,1052,Ben,Handlogten,1610612762.0,185.928,Undrafted,Ben Handlogten,2014
4,1504,Danny,Fortson,1610612743.0,207.264,1997,Danny Fortson,2014
5,1505,Tariq,Abdul-Wahad,1610612758.0,201.16799999999998,1997,Tariq Abdul-Wahad,2014
6,1514,Paul,Grant,0.0,213.36,1997,Paul Grant,2014
7,1711,Raef,LaFrentz,1610612743.0,186.23280000000003,1998,Raef LaFrentz,2014
8,1721,Keon,Clark,1610612743.0,186.23280000000003,1998,Keon Clark,2014
9,1723,Matt,Harpring,1610612762.0,204.216,1998,Matt Harpring,2014
10,2068,Lavor,Postell,1610612752.0,198.12,2000,Lavor Postell,2014
12,2221,Raul,Lopez,0.0,182.88,2001,Raul Lopez,2014
13,2412,Jiri,Welsch,1610612738.0,204.216,2002,Jiri Welsch,2014
14,2414,Curtis,Borchardt,1610612762.0,213.36,2002,Curtis Borchardt,2014
17,389,Toni,Kukoc,1610612741.0,186.23280000000003,1990,Toni Kukoc,2014
18,953,Lorenzen,Wright,1610612763.0,186.23280000000003,1996,Lorenzen Wright,2014
19,1065,Erick,Strickland,1610612742.0,192.024,Undrafted,Erick Strickland,2014
20,1800,Damon,Jones,1610612739.0,192.024,Undrafted,Damon Jones,2014
21,2031,Stromile,Swift,1610612763.0,185.928,2000,Stromile Swift,2014
22,2054,Jake,Tsakalidis,1610612756.0,219.45600000000002,2000,Jake Tsakalidis,2014
23,2091,Daniel,Santiago,1610612749.0,216.408,Undrafted,Daniel Santiago,2014
24,2415,Ryan,Humphrey,0.0,207.264,2002,Ryan Humphrey,2014
25,2559,Troy,Bell,1610612763.0,185.928,2003,Troy Bell,2014
26,2604,Theron,Smith,0.0,207.264,Undrafted,Theron Smith,2014
27,2652,Shelton,Jones,1610612755.0,207.264,1988,Shelton Jones,2014
29,2697,Antonio,Meeking,0.0,,Undrafted,Antonio Meeking,2014
30,713,Chris,Carr,0.0,201.16799999999998,1995,Chris Carr,2014
31,722,Corliss,Williamson,1610612758.0,204.216,1995,Corliss Williamson,2014
32,922,Elden,Campbell,1610612747.0,213.36,1990,Elden Campbell,2014
33,1032,Darvin,Ham,1610612749.0,204.216,Undrafted,Darvin Ham,2014
34,1565,Michael,Stewart,1610612761.0,185.928,Undrafted,Michael Stewart,2014
35,1741,Jelani,McCoy,0.0,185.928,1998,Jelani McCoy,2014
36,1743,Bruno,Sundov,1610612754.0,219.45600000000002,1998,Bruno Sundov,2014
37,2036,Chris,Mihm,1610612739.0,213.36,2000,Chris Mihm,2014
38,2062,A.J.,Guyton,1610612741.0,188.976,2000,A.J. Guyton,2014
39,2347,Tang,Hamilton,1610612748.0,207.264,Undrafted,Tang Hamilton,2014
40,2452,J.R.,Bremer,1610612738.0,188.976,Undrafted,J.R. Bremer,2014
42,692,Andrew,DeClercq,0.0,185.928,1995,Andrew DeClercq,2014
43,1731,Tyronn,Lue,1610612737.0,182.88,1998,Tyronn Lue,2014
44,1742,Shammond,Williams,1610612760.0,185.928,1998,Shammond Williams,2014
45,1921,Gordan,Giricek,1610612762.0,201.16799999999998,1999,Gordan Giricek,2014
46,2051,Donnell,Harvey,0.0,207.264,2000,Donnell Harvey,2014
47,2558,Reece,Gaines,0.0,201.16799999999998,2003,Reece Gaines,2014
49,2639,Britton,Johnsen,0.0,185.928,Undrafted,Britton Johnsen,2014
51,123,Robert,Pack,0.0,188.976,Undrafted,Robert Pack,2014
52,680,John,Amaechi,1610612753.0,185.928,Undrafted,John Amaechi,2014
53,754,Jim,Jackson,1610612742.0,201.16799999999998,1992,Jim Jackson,2014
54,757,Damon,Stoudamire,1610612757.0,155.44799999999998,1995,Damon Stoudamire,2014
55,976,Jeff,McInnis,0.0,195.072,1996,Jeff McInnis,2014
56,983,Moochie,Norris,1610612745.0,185.928,1996,Moochie Norris,2014
57,1507,Derek,Anderson,1610612757.0,198.12,1997,Derek Anderson,2014
58,1509,Kelvin,Cato,1610612745.0,186.23280000000003,1997,Kelvin Cato,2014
59,1739,Ruben,Patterson,0.0,198.12,1998,Ruben Patterson,2014
60,1749,Cuttino,Mobley,1610612745.0,195.072,1998,Cuttino Mobley,2014
61,1883,Steve,Francis,1610612745.0,192.024,1999,Steve Francis,2014
63,2055,Mamadou,N'diaye,1610612761.0,213.36,2000,Mamadou N'diaye,2014
64,2204,Eddie,Griffin,0.0,210.312,2001,Eddie Griffin,2014
65,2257,Ruben,Boumtje-Boumtje,1610612757.0,213.36,2001,Ruben Boumtje-Boumtje,2014
66,2411,Bostjan,Nachbar,1610612751.0,210.312,2002,Bostjan Nachbar,2014
67,2417,Qyntel,Woods,1610612757.0,207.264,2002,Qyntel Woods,2014
68,2438,Jason,Jennings,0.0,,2002,Jason Jennings,2014
69,2508,Gabe,Muoneke,0.0,,Undrafted,Gabe Muoneke,2014
70,2637,Alex,Scales,0.0,195.072,Undrafted,Alex Scales,2014
71,2683,David,Jackson,0.0,,Undrafted,David Jackson,2014
72,42,Monty,Williams,1610612753.0,207.264,1994,Monty Williams,2014
73,224,Eddie,Jones,1610612748.0,201.16799999999998,1994,Eddie Jones,2014
74,243,Aaron,McKie,1610612755.0,198.12,1994,Aaron McKie,2014
75,258,Brian,Grant,1610612748.0,210.312,1994,Brian Grant,2014
76,299,Glenn,Robinson,1610612749.0,204.216,1994,Glenn Robinson,2014
