,PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON,BIRTHDATE,COUNTRY,HEIGHT,WEIGHT,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,Royce O'Neale,1610612762,1626220,2019,1993-06-05,USA,6-6,226,Undrafted,Undrafted,Undrafted,N
1,Bojan Bogdanovic,1610612762,202711,2019,1989-04-18,Croatia,6-7,226,2011,2,31,N
2,Rudy Gobert,1610612762,203497,2019,1992-06-26,France,7-1,258,2013,1,27,N
3,Donovan Mitchell,1610612762,1628378,2019,1996-09-07,USA,6-1,215,2017,1,13,N
4,Mike Conley,1610612762,201144,2019,1987-10-11,USA,6-1,175,2007,1,4,N
5,Joe Ingles,1610612762,204060,2019,1987-10-02,Australia,6-9,220,Undrafted,Undrafted,Undrafted,N
6,Ed Davis,1610612762,202334,2019,1989-06-05,USA,6-9,218,2010,1,13,N
7,Jeff Green,1610612762,201145,2019,1986-08-28,USA,6-8,235,2007,1,5,N
8,Dante Exum,1610612762,203957,2019,1995-07-13,Australia,6-5,214,2014,1,5,N
9,Emmanuel Mudiay,1610612762,1626144,2019,1996-03-05,DRC,6-3,200,2015,1,7,N
10,Georges Niang,1610612762,1627777,2019,1993-06-17,USA,6-7,230,2016,2,50,N
11,Tony Bradley,1610612762,1628396,2019,1998-01-08,USA,6-11,248,2017,1,28,N
12,Nigel Williams-Goss,1610612762,1628430,2019,1994-09-16,USA,6-2,190,2017,2,55,N
13,Tobias Harris,1610612755,202699,2019,1992-07-15,USA,6-7,226,2011,1,19,N
14,Al Horford,1610612755,201143,2019,1986-06-03,Dominican Republic,6-9,240,2007,1,3,N
15,Joel Embiid,1610612755,203954,2019,1994-03-16,Cameroon,7-0,280,2014,1,3,N
16,Furkan Korkmaz,1610612755,1627788,2019,1997-07-24,Turkey,6-7,202,2016,1,26,N
17,Ben Simmons,1610612755,1627732,2019,1996-07-20,Australia,6-10,240,2016,1,1,N
18,James Ennis III,1610612755,203516,2019,1990-07-01,USA,6-6,215,2013,2,50,N
19,Mike Scott,1610612755,203118,2019,1988-07-16,USA,6-7,237,2012,2,43,N
20,Raul Neto,1610612755,203526,2019,1992-05-19,Brazil,6-2,180,2013,2,47,N
21,Matisse Thybulle,1610612755,1629680,2019,1997-03-04,USA,6-5,201,2019,1,20,N
22,Shake Milton,1610612755,1629003,2019,1996-09-26,USA,6-5,205,2018,2,54,N
23,Kyle O'Quinn,1610612755,203124,2019,1990-03-26,USA,6-9,250,2012,2,49,N
24,Norvel Pelle,1610612755,203658,2019,1993-02-03,Antigua and Barbuda,6-10,231,Undrafted,Undrafted,Undrafted,N
25,Kevin Knox II,1610612752,1628995,2019,1999-08-11,USA,6-7,215,2018,1,9,N
26,Julius Randle,1610612752,203944,2019,1994-11-29,USA,6-8,250,2014,1,7,N
27,Taj Gibson,1610612752,201959,2019,1985-06-24,USA,6-9,232,2009,1,26,N
28,RJ Barrett,1610612752,1629628,2019,2000-06-14,Canada,6-6,214,2019,1,3,N
29,Dennis Smith Jr.,1610612752,1628372,2019,1997-11-25,USA,6-2,205,2017,1,9,N
30,Wayne Ellington,1610612752,201961,2019,1987-11-29,USA,6-4,207,2009,1,28,N
31,Mitchell Robinson,1610612752,1629011,2019,1998-04-01,USA,7-0,240,2018,2,36,N
32,Damyean Dotson,1610612752,1628422,2019,1994-05-06,USA,6-5,210,2017,2,44,N
33,Bobby Portis,1610612752,1626171,2019,1995-02-10,USA,6-11,250,2015,1,22,N
34,Allonzo Trier,1610612752,1629019,2019,1996-01-17,USA,6-4,200,2018,,,N
35,Ignas Brazdeikis,1610612752,1629649,2019,1999-01-08,Canada,6-6,221,2019,2,47,N
36,Kadeem Allen,1610612752,1628443,2019,1993-01-15,USA,6-1,200,2017,2,53,N
37,Khris Middleton,1610612749,203114,2019,1991-08-12,USA,6-7,222,2012,2,39,N
