,PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON,COUNTRY,HEIGHT,WEIGHT,DRAFT_YEAR
0,Royce O'Neale,1610612762,1626220,2019,USA,6-6,226,Undrafted
1,Bojan Bogdanovic,1610612762,202711,2019,Croatia,6-7,226,2011
2,Rudy Gobert,1610612762,203497,2019,France,7-1,258,2013
3,Donovan Mitchell,1610612762,1628378,2019,USA,6-1,215,2017
4,Mike Conley,1610612762,201144,2019,USA,6-1,175,2007
5,Joe Ingles,1610612762,204060,2019,Australia,6-9,220,Undrafted
6,Ed Davis,1610612762,202334,2019,USA,6-9,218,2010
7,Jeff Green,1610612762,201145,2019,USA,6-8,235,2007
8,Dante Exum,1610612762,203957,2019,Australia,6-5,214,2014
9,Emmanuel Mudiay,1610612762,1626144,2019,DRC,6-3,200,2015
10,Georges Niang,1610612762,1627777,2019,USA,6-7,230,2016
11,Tony Bradley,1610612762,1628396,2019,USA,6-11,248,2017
12,Nigel Williams-Goss,1610612762,1628430,2019,USA,6-2,190,2017
13,Tobias Harris,1610612755,202699,2019,USA,6-7,226,2011
14,Al Horford,1610612755,201143,2019,Dominican Republic,6-9,240,2007
15,Joel Embiid,1610612755,203954,2019,Cameroon,7-0,280,2014
16,Furkan Korkmaz,1610612755,1627788,2019,Turkey,6-7,202,2016
17,Ben Simmons,1610612755,1627732,2019,Australia,6-10,240,2016
18,James Ennis III,1610612755,203516,2019,USA,6-6,215,2013
19,Mike Scott,1610612755,203118,2019,USA,6-7,237,2012
20,Raul Neto,1610612755,203526,2019,Brazil,6-2,180,2013
21,Matisse Thybulle,1610612755,1629680,2019,USA,6-5,201,2019
22,Shake Milton,1610612755,1629003,2019,USA,6-5,205,2018
23,Kyle O'Quinn,1610612755,203124,2019,USA,6-9,250,2012
24,Norvel Pelle,1610612755,203658,2019,Antigua and Barbuda,6-10,231,Undrafted
25,Kevin Knox II,1610612752,1628995,2019,USA,6-7,215,2018
26,Julius Randle,1610612752,203944,2019,USA,6-8,250,2014
27,Taj Gibson,1610612752,201959,2019,USA,6-9,232,2009
28,RJ Barrett,1610612752,1629628,2019,Canada,6-6,214,2019
29,Dennis Smith Jr.,1610612752,1628372,2019,USA,6-2,205,2017
30,Wayne Ellington,1610612752,201961,2019,USA,6-4,207,2009
31,Mitchell Robinson,1610612752,1629011,2019,USA,7-0,240,2018
32,Damyean Dotson,1610612752,1628422,2019,USA,6-5,210,2017
33,Bobby Portis,1610612752,1626171,2019,USA,6-11,250,2015
34,Allonzo Trier,1610612752,1629019,2019,USA,6-4,200,2018
35,Ignas Brazdeikis,1610612752,1629649,2019,Canada,6-6,221,2019
36,Kadeem Allen,1610612752,1628443,2019,USA,6-1,200,2017
37,Khris Middleton,1610612749,203114,2019,USA,6-7,222,2012
38,Giannis Antetokounmpo,1610612749,203507,2019,Greece,7-0,243,2013
39,Robin Lopez,1610612749,201577,2019,USA,7-0,281,2008
40,Wesley Matthews,1610612749,202083,2019,USA,6-5,220,Undrafted
41,Eric Bledsoe,1610612749,202339,2019,USA,6-1,214,2010
42,Donte DiVincenzo,1610612749,1628978,2019,USA,6-4,203,2018
43,Ersan Ilyasova,1610612749,101141,2019,Turkey,6-9,235,2005
44,Pat Connaughton,1610612749,1626192,2019,USA,6-5,209,2015
45,George Hill,1610612749,201588,2019,USA,6-4,188,2008
46,D.J. Wilson,1610612749,1628391,2019,USA,6-10,231,2017
47,Kyle Korver,1610612749,2594,2019,USA,6-7,212,2003
48,Dragan Bender,1610612749,1627733,2019,Croatia,7-0,249,2016
49,Thanasis Antetokounmpo,1610612749,203648,2019,Greece,6-7,219,2014
50,Kris Dunn,1610612741,1627739,2019,USA,6-3,205,2016
51,Lauri Markkanen,1610612741,1628374,2019,Finland,7-0,240,2017
52,Wendell Carter Jr.,1610612741,1628976,2019,USA,6-10,270,2018
53,Zach LaVine,1610612741,203897,2019,USA,6-5,200,2014
54,Tomas Satoransky,1610612741,203107,2019,Czech Republic,6-7,210,2012
55,Coby White,1610612741,1629632,2019,USA,6-5,195,2019
56,Thaddeus Young,1610612741,201152,2019,USA,6-8,235,2007
57,Ryan Arcidiacono,1610612741,1627853,2019,USA,6-3,195,Undrafted
58,Denzel Valentine,1610612741,1627756,2019,USA,6-4,220,2016
59,Daniel Gafford,1610612741,1629655,2019,USA,6-10,234,2019
60,Shaquille Harrison,1610612741,1627885,2019,USA,6-4,195,Undrafted
61,Luke Kornet,1610612741,1628436,2019,USA,7-2,250,Undrafted
62,Max Strus,1610612741,1629622,2019,USA,6-5,215,Undrafted
63,Harrison Barnes,1610612758,203084,2019,USA,6-8,225,2012
64,Nemanja Bjelica,1610612758,202357,2019,Serbia,6-9,234,2010
65,Richaun Holmes,1610612758,1626158,2019,USA,6-8,235,2015
66,Buddy Hield,1610612758,1627741,2019,Bahamas,6-4,220,2016
67,Cory Joseph,1610612758,202709,2019,Canada,6-3,200,2011
68,Bogdan Bogdanovic,1610612758,203992,2019,Serbia,6-5,225,2014
69,Justin James,1610612758,1629713,2019,USA,6-7,190,2019
70,Trevor Ariza,1610612758,2772,2019,USA,6-8,215,2004
71,Dewayne Dedmon,1610612758,203473,2019,USA,6-10,245,Undrafted
72,Yogi Ferrell,1610612758,1627812,2019,USA,6-0,178,Undrafted
73,Harry Giles III,1610612758,1628385,2019,USA,6-11,240,2017
74,Kyle Guy,1610612758,1629657,2019,USA,6-1,167,2019
75,Caleb Swanigan,1610612758,1628403,2019,USA,6-9,260,2017
76,Kelly Oubre Jr.,1610612756,1626162,2019,USA,6-6,203,2015
77,Dario Saric,1610612756,203967,2019,Croatia,6-10,225,2014
78,Frank Kaminsky,1610612756,1626163,2019,USA,7-0,240,2015
79,Devin Booker,1610612756,1626164,2019,USA,6-5,206,2015
80,Ricky Rubio,1610612756,201937,2019,Spain,6-2,190,2009
81,Mikal Bridges,1610612756,1628969,2019,USA,6-6,209,2018
82,Ty Jerome,1610612756,1629660,2019,USA,6-5,195,2019
83,Cameron Johnson,1610612756,1629661,2019,USA,6-8,210,2019
84,Jevon Carter,1610612756,1628975,2019,USA,6-1,200,2018
85,Aron Baynes,1610612756,203382,2019,Australia,6-10,260,Undrafted
86,Tyler Johnson,1610612756,204020,2019,USA,6-3,186,Undrafted
87,Elie Okobo,1610612756,1629059,2019,France,6-3,190,2018
88,Miles Bridges,1610612766,1628970,2019,USA,6-7,225,2018
89,P.J. Washington,1610612766,1629023,2019,USA,6-7,230,2019
90,Bismack Biyombo,1610612766,202687,2019,DRC,6-8,255,2011
91,Devonte' Graham,1610612766,1628984,2019,USA,6-1,195,2018
92,Terry Rozier,1610612766,1626179,2019,USA,6-1,190,2015
93,Nicolas Batum,1610612766,201587,2019,France,6-8,230,2008
94,Cody Zeller,1610612766,203469,2019,USA,6-11,240,2013
95,Marvin Williams,1610612766,101107,2019,USA,6-8,237,2005
96,Malik Monk,1610612766,1628370,2019,USA,6-3,200,2017
97,Dwayne Bacon,1610612766,1628407,2019,USA,6-6,221,2017
98,Willy Hernangomez,1610612766,1626195,2019,Spain,6-11,250,2015
99,Michael Kidd-Gilchrist,1610612766,203077,2019,USA,6-6,232,2012
100,T.J. Warren,1610612754,203933,2019,USA,6-8,220,2014
101,Domantas Sabonis,1610612754,1627734,2019,Lithuania,7-1,240,2016
102,Myles Turner,1610612754,1626167,2019,USA,6-11,250,2015
103,Jeremy Lamb,1610612754,203087,2019,USA,6-5,180,2012
104,Malcolm Brogdon,1610612754,1627763,2019,USA,6-4,229,2016
105,Justin Holiday,1610612754,203200,2019,USA,6-6,180,Undrafted
106,Aaron Holiday,1610612754,1628988,2019,USA,6-0,185,2018
107,T.J. McConnell,1610612754,204456,2019,USA,6-1,190,2015
108,Doug McDermott,1610612754,203926,2019,USA,6-6,225,2014
109,Goga Bitadze,1610612754,1629048,2019,Georgia,6-11,250,2019
110,Alize Johnson,1610612754,1628993,2019,USA,6-8,212,2018
111,TJ Leaf,1610612754,1628388,2019,USA,6-10,222,2017
112,Solomon Hill,1610612763,203524,2019,USA,6-6,226,2013
113,Jae Crowder,1610612763,203109,2019,USA,6-6,235,2012
